date,foreign_net,retail_ratio,pcr_oi
2026-06-11,,,1.6165
2026-06-12,-4360.0,0.2479,1.6931
2026-06-15,-6414.0,0.3571,1.4086
2026-06-16,-10734.0,0.3855,1.4086
2026-06-17,-10239.0,0.272,1.4086
2026-06-18,-9677.0,0.1658,1.2241
2026-06-22,-9657.0,0.0812,1.4871
2026-06-23,-15392.0,0.2955,1.4871
2026-06-24,-19571.0,0.202,1.4871
2026-06-25,-17127.0,0.1547,1.2576
2026-06-26,-10503.0,0.1664,1.8457
2026-06-29,-11250.0,0.0298,1.7112
2026-06-30,-14869.0,0.0648,1.7112
2026-07-01,-15382.0,0.0771,1.7112
2026-07-02,-14394.0,0.1707,1.4284000000000001
