date,spot,call_wall,put_wall,macro_zero,micro_flip,speed_peak,speed_valley,regime,critical,pcr_oi,next_open,next_high,next_low,next_close,next_ret_pct,foreign_net,retail_ratio
2026-06-11,43219,45000,40000,43022,43006,43673,45618,POS_GAMMA,True,1.6165,44929.0,44931.0,44045.0,44188.0,2.242,,
2026-06-12,44217,45000,43000,43272,43241,43642,46759,POS_GAMMA,False,1.6931,45750.0,45905.0,45340.0,45580.0,3.083,-4360.0,0.2479
2026-06-15,45597,49000,44000,45183,45180,45323,48173,POS_GAMMA,False,1.4086,46124.0,46198.0,45463.0,45772.0,0.384,-6414.0,0.3571
2026-06-16,45764,49000,45000,45491,45487,45741,48098,POS_GAMMA,False,1.4086,45345.0,45745.0,45113.0,45668.0,-0.21,-10734.0,0.3855
2026-06-17,45668,49000,45000,45499,45503,45531,47312,POS_GAMMA,True,1.4086,46470.0,46778.0,46260.0,46769.0,2.411,-10239.0,0.272
2026-06-18,46752,48500,44400,45984,45996,46425,49277,POS_GAMMA,False,1.2241,47460.0,48476.0,47371.0,48413.0,3.553,-9677.0,0.1658
2026-06-22,48428,48500,47000,47510,47485,47629,50922,POS_GAMMA,False,1.4871,48650.0,48711.0,47404.0,47436.0,-2.048,-9657.0,0.0812
2026-06-23,47437,50500,46000,47336,47348,47793,50117,POS_GAMMA,True,1.4871,46858.0,47067.0,45898.0,46387.0,-2.213,-15392.0,0.2955
2026-06-24,46407,48000,45000,46182,46187,46268,44458,POS_GAMMA,True,1.4871,46993.0,46997.0,46091.0,46544.0,0.295,-19571.0,0.202
2026-06-25,46527,49000,45000,46143,46140,46620,49109,POS_GAMMA,False,1.2576,,,,,,-17127.0,0.1547
