expiry_code,strike,cp,oi,data_date
202608F1,35900,C,0,2026-08-05
202608F2,35900,C,0,2026-08-05
202608F2,35900,P,9,2026-08-05
202608F1,35900,P,286,2026-08-05
202608F1,36000,C,0,2026-08-05
202608F2,36000,C,0,2026-08-05
202608F1,36000,P,118,2026-08-05
202608F2,36000,P,70,2026-08-05
202608F1,36100,C,0,2026-08-05
202608F2,36100,C,0,2026-08-05
202608F2,36100,P,0,2026-08-05
202608F1,36100,P,7,2026-08-05
202608F1,36200,C,0,2026-08-05
202608F2,36200,C,0,2026-08-05
202608F1,36200,P,2,2026-08-05
202608F2,36200,P,0,2026-08-05
202608F2,36300,C,0,2026-08-05
202608F1,36300,C,0,2026-08-05
202608F1,36300,P,32,2026-08-05
202608F2,36300,P,4,2026-08-05
202608F2,36400,C,0,2026-08-05
202608F1,36400,C,0,2026-08-05
202608F2,36400,P,0,2026-08-05
202608F1,36400,P,4,2026-08-05
202608F1,36500,C,0,2026-08-05
202608F2,36500,C,0,2026-08-05
202608F1,36500,P,9,2026-08-05
202608F2,36500,P,0,2026-08-05
202608F2,36600,C,0,2026-08-05
202608F1,36600,C,0,2026-08-05
202608F1,36600,P,7,2026-08-05
202608F2,36600,P,0,2026-08-05
202608F1,36700,C,0,2026-08-05
202608F2,36700,C,0,2026-08-05
202608F2,36700,P,0,2026-08-05
202608F1,36700,P,5,2026-08-05
202608F1,36800,C,0,2026-08-05
202608F2,36800,C,0,2026-08-05
202608F2,36800,P,1,2026-08-05
202608F1,36800,P,13,2026-08-05
202608F1,36900,C,0,2026-08-05
202608F2,36900,C,0,2026-08-05
202608F2,36900,P,3,2026-08-05
202608F1,36900,P,7,2026-08-05
202608F1,37000,C,0,2026-08-05
202608F2,37000,C,0,2026-08-05
202608F1,37000,P,98,2026-08-05
202608F2,37000,P,2,2026-08-05
202608F1,37100,C,0,2026-08-05
202608F2,37100,C,0,2026-08-05
202608F2,37100,P,0,2026-08-05
202608F1,37100,P,5,2026-08-05
202608F1,37200,C,0,2026-08-05
202608F2,37200,C,0,2026-08-05
202608F2,37200,P,0,2026-08-05
202608F1,37200,P,25,2026-08-05
202608F1,37300,C,0,2026-08-05
202608F2,37300,C,0,2026-08-05
202608F2,37300,P,0,2026-08-05
202608F1,37300,P,31,2026-08-05
202608F2,37400,C,0,2026-08-05
202608F1,37400,C,0,2026-08-05
202608F1,37400,P,16,2026-08-05
202608F2,37400,P,3,2026-08-05
202608F2,37500,C,0,2026-08-05
202608F1,37500,C,0,2026-08-05
202608F2,37500,P,1,2026-08-05
202608F1,37500,P,4,2026-08-05
202608F1,37600,C,0,2026-08-05
202608F2,37600,C,0,2026-08-05
202608F2,37600,P,2,2026-08-05
202608F1,37600,P,20,2026-08-05
202608F1,37700,C,0,2026-08-05
202608F2,37700,C,0,2026-08-05
202608F1,37700,P,3,2026-08-05
202608F2,37700,P,0,2026-08-05
202608F1,37800,C,0,2026-08-05
202608F2,37800,C,0,2026-08-05
202608F1,37800,P,2,2026-08-05
202608F2,37800,P,0,2026-08-05
202608F2,37900,C,0,2026-08-05
202608F1,37900,C,0,2026-08-05
202608F1,37900,P,10,2026-08-05
202608F2,37900,P,0,2026-08-05
202608F1,38000,C,0,2026-08-05
202608F2,38000,C,0,2026-08-05
202608F2,38000,P,12,2026-08-05
202608F1,38000,P,211,2026-08-05
202608F1,38100,C,0,2026-08-05
202608F2,38100,C,0,2026-08-05
202608F2,38100,P,0,2026-08-05
202608F1,38100,P,107,2026-08-05
202608F1,38200,C,0,2026-08-05
202608F2,38200,C,0,2026-08-05
202608F2,38200,P,15,2026-08-05
202608F1,38200,P,86,2026-08-05
202608F1,38300,C,0,2026-08-05
202608F2,38300,C,0,2026-08-05
202608F2,38300,P,6,2026-08-05
202608F1,38300,P,5,2026-08-05
202608F1,38400,C,0,2026-08-05
202608F2,38400,C,0,2026-08-05
202608F2,38400,P,13,2026-08-05
202608F1,38400,P,16,2026-08-05
202608F2,38500,C,0,2026-08-05
202608F1,38500,C,0,2026-08-05
202608F1,38500,P,18,2026-08-05
202608F2,38500,P,12,2026-08-05
202608F2,38600,C,0,2026-08-05
202608F1,38600,C,0,2026-08-05
202608F2,38600,P,2,2026-08-05
202608F1,38600,P,16,2026-08-05
202608F1,38700,C,0,2026-08-05
202608F2,38700,C,0,2026-08-05
202608F2,38700,P,0,2026-08-05
202608F1,38700,P,10,2026-08-05
202608F1,38750,C,0,2026-08-05
202608F2,38750,C,0,2026-08-05
202608F1,38750,P,12,2026-08-05
202608F2,38750,P,0,2026-08-05
202608F2,38800,C,0,2026-08-05
202608F1,38800,C,0,2026-08-05
202608F1,38800,P,16,2026-08-05
202608F2,38800,P,0,2026-08-05
202608F1,38850,C,0,2026-08-05
202608F2,38850,C,0,2026-08-05
202608F1,38850,P,1,2026-08-05
202608F2,38850,P,0,2026-08-05
202608F2,38900,C,0,2026-08-05
202608F1,38900,C,0,2026-08-05
202608F1,38900,P,15,2026-08-05
202608F2,38900,P,2,2026-08-05
202608F1,38950,C,0,2026-08-05
202608F2,38950,C,0,2026-08-05
202608F1,38950,P,14,2026-08-05
202608F2,38950,P,2,2026-08-05
202608F2,39000,C,0,2026-08-05
202608F1,39000,C,0,2026-08-05
202608F1,39000,P,108,2026-08-05
202608F2,39000,P,8,2026-08-05
202608F1,39050,C,0,2026-08-05
202608F2,39050,C,0,2026-08-05
202608F1,39050,P,63,2026-08-05
202608F2,39050,P,0,2026-08-05
202608F2,39100,C,0,2026-08-05
202608F1,39100,C,0,2026-08-05
202608F1,39100,P,7,2026-08-05
202608F2,39100,P,0,2026-08-05
202608F2,39150,C,0,2026-08-05
202608F1,39150,C,0,2026-08-05
202608F1,39150,P,3,2026-08-05
202608F2,39150,P,0,2026-08-05
202608F2,39200,C,0,2026-08-05
202608F1,39200,C,0,2026-08-05
202608F1,39200,P,77,2026-08-05
202608F2,39200,P,0,2026-08-05
202608F1,39250,C,0,2026-08-05
202608F2,39250,C,0,2026-08-05
202608F1,39250,P,4,2026-08-05
202608F2,39250,P,0,2026-08-05
202608F1,39300,C,0,2026-08-05
202608F2,39300,C,0,2026-08-05
202608F1,39300,P,42,2026-08-05
202608F2,39300,P,2,2026-08-05
202608F1,39350,C,0,2026-08-05
202608F2,39350,C,0,2026-08-05
202608F2,39350,P,0,2026-08-05
202608F1,39350,P,5,2026-08-05
202608F1,39400,C,0,2026-08-05
202608F2,39400,C,0,2026-08-05
202608F1,39400,P,19,2026-08-05
202608F2,39400,P,2,2026-08-05
202608F2,39450,C,0,2026-08-05
202608F1,39450,C,0,2026-08-05
202608F1,39450,P,3,2026-08-05
202608F2,39450,P,0,2026-08-05
202608F2,39500,C,0,2026-08-05
202608F1,39500,C,0,2026-08-05
202608F1,39500,P,47,2026-08-05
202608F2,39500,P,2,2026-08-05
202608F2,39550,C,0,2026-08-05
202608F1,39550,C,0,2026-08-05
202608F1,39550,P,4,2026-08-05
202608F2,39550,P,0,2026-08-05
202608F2,39600,C,0,2026-08-05
202608F1,39600,C,0,2026-08-05
202608F1,39600,P,15,2026-08-05
202608F2,39600,P,2,2026-08-05
202608F2,39650,C,0,2026-08-05
202608F1,39650,C,0,2026-08-05
